,loss,conv,fa,cl,asp,ad,dataset,acc lp,best_values
54,GraphFactorization,SAGE,0.1,0.5,2,20,0.50.10.5220,0.7139798952205143,"{'hidden_layer': 64, 'out_layer': 32, 'dropout': 0.0, 'size of network, number of convs': 3, 'lr': 0.00855967661396528, 'lmbda': 0.4035565050748638}"
55,GraphFactorization,GCN,0.1,0.5,2,20,0.50.10.5220,0.7271053660668587,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.008598585078292552, 'lmbda': 0.15714708949066974}"
56,GraphFactorization,GAT,0.1,0.5,2,20,0.50.10.5220,0.8014724910718907,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.006729927831539582, 'lmbda': 0.9419209851393582}"
57,GraphFactorization,SAGE,0.1,0.5,2,40,0.50.10.5240,0.6899085048507956,"{'hidden_layer': 64, 'out_layer': 32, 'dropout': 0.0, 'size of network, number of convs': 3, 'lr': 0.00661537152576818, 'lmbda': 0.14123629748044364}"
58,GraphFactorization,GCN,0.1,0.5,2,40,0.50.10.5240,0.7638960773826982,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.007155374700807513, 'lmbda': 0.7649005436986674}"
59,GraphFactorization,GAT,0.1,0.5,2,40,0.50.10.5240,0.7926378321802988,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.0074456873500049914, 'lmbda': 0.6504140523943225}"
60,GraphFactorization,SAGE,0.1,0.5,3,5,0.50.10.535,0.7119441137737292,"{'hidden_layer': 64, 'out_layer': 32, 'dropout': 0.0, 'size of network, number of convs': 3, 'lr': 0.008117000367957533, 'lmbda': 0.17160568997165065}"
61,GraphFactorization,GCN,0.1,0.5,3,5,0.50.10.535,0.7615188424799729,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.008123914501372034, 'lmbda': 0.18421316950066957}"
62,GraphFactorization,GAT,0.1,0.5,3,5,0.50.10.535,0.7831547711471112,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.007884296076086799, 'lmbda': 0.08331189678390905}"
63,GraphFactorization,SAGE,0.1,0.5,3,20,0.50.10.5320,0.6654058048525209,"{'hidden_layer': 64, 'out_layer': 32, 'dropout': 0.2, 'size of network, number of convs': 3, 'lr': 0.006735312871969233, 'lmbda': 0.8438540768389029}"
64,GraphFactorization,GCN,0.1,0.5,3,20,0.50.10.5320,0.7954370316696283,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.00816673597858252, 'lmbda': 0.5712966649270598}"
65,GraphFactorization,GAT,0.1,0.5,3,20,0.50.10.5320,0.8348910799418019,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.007629793323415704, 'lmbda': 0.1492696398912121}"
66,GraphFactorization,SAGE,0.1,0.5,4,5,0.50.10.545,0.6951115386479644,"{'hidden_layer': 64, 'out_layer': 32, 'dropout': 0.1, 'size of network, number of convs': 3, 'lr': 0.006436804216212113, 'lmbda': 0.17707125042028685}"
67,GraphFactorization,GCN,0.1,0.5,4,5,0.50.10.545,0.8099493045690516,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.009650705973147945, 'lmbda': 0.4995826126313502}"
68,GraphFactorization,GAT,0.1,0.5,4,5,0.50.10.545,0.7970156933367636,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.006690672274089717, 'lmbda': 0.07647387116767927}"
69,GraphFactorization,SAGE,0.5,0.01,2,5,0.50.50.0125,0.5647826086956522,"{'hidden_layer': 64, 'out_layer': 32, 'dropout': 0.1, 'size of network, number of convs': 3, 'lr': 0.007154415378216831, 'lmbda': 0.0010455043647286354}"
70,GraphFactorization,GCN,0.5,0.01,2,5,0.50.50.0125,0.686219281663516,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.006437483252978648, 'lmbda': 0.904276239352527}"
71,GraphFactorization,GAT,0.5,0.01,2,5,0.50.50.0125,0.671039697542533,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.006466129455953089, 'lmbda': 0.2584295690531326}"
72,GraphFactorization,SAGE,0.5,0.01,2,20,0.50.50.01220,0.5669908549862099,"{'hidden_layer': 64, 'out_layer': 32, 'dropout': 0.1, 'size of network, number of convs': 3, 'lr': 0.007528655855196301, 'lmbda': 0.03528155780945357}"
73,GraphFactorization,GCN,0.5,0.01,2,20,0.50.50.01220,0.6811422396412962,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.009536056053133929, 'lmbda': 0.05888696519364244}"
74,GraphFactorization,GAT,0.5,0.01,2,20,0.50.50.01220,0.7593587200206449,"{'hidden_layer': 256, 'out_layer': 64, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.005007788375753516, 'lmbda': 0.6346407083990256}"
75,GraphFactorization,SAGE,0.5,0.01,2,40,0.50.50.01240,0.5996186992373985,"{'hidden_layer': 64, 'out_layer': 32, 'dropout': 0.1, 'size of network, number of convs': 3, 'lr': 0.009257184554167023, 'lmbda': 0.5436005611544343}"
76,GraphFactorization,GCN,0.5,0.01,2,40,0.50.50.01240,0.619776489552979,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.009345013436106954, 'lmbda': 0.25691154026425866}"
77,GraphFactorization,GAT,0.5,0.01,2,40,0.50.50.01240,0.7274474548949098,"{'hidden_layer': 256, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.005035732070933174, 'lmbda': 0.4908379692611442}"
78,GraphFactorization,SAGE,0.5,0.01,3,2,0.50.50.0132,0.601056503628057,"{'hidden_layer': 64, 'out_layer': 32, 'dropout': 0.2, 'size of network, number of convs': 3, 'lr': 0.007919449741972244, 'lmbda': 0.02219579865808304}"
79,GraphFactorization,GCN,0.5,0.01,3,2,0.50.50.0132,0.6567287019618382,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.5, 'size of network, number of convs': 3, 'lr': 0.008233503597570645, 'lmbda': 0.41323095792345066}"
