,type of loss,loss,conv,fa,cl,asp,ad,acc lp
245,random walks,DeepWalk,SAGE,0.5,0.01,3,20,0.7367717003567182
246,random walks,DeepWalk,SAGE,0.5,0.2,4,2,0.691225643808757
247,random walks,DeepWalk,SAGE,0.5,0.01,4,2,0.7333375660703799
248,random walks,DeepWalk,SAGE,0.1,0.2,2,20,0.6382238135955536
249,random walks,DeepWalk,SAGE,0.9,0.2,4,2,0.596022
250,random walks,DeepWalk,SAGE,0.1,0.5,3,5,0.6861654561243091
251,random walks,DeepWalk,SAGE,0.5,0.5,3,20,0.5664659676582359
252,random walks,DeepWalk,SAGE,0.5,0.2,2,40,0.6051459264778937
253,random walks,DeepWalk,SAGE,0.9,0.2,3,2,0.624374
254,random walks,DeepWalk,GCN,0.1,0.01,3,2,0.7461331268850503
255,random walks,DeepWalk,SAGE,0.9,0.5,3,5,0.6346031735799309
256,random walks,DeepWalk,SAGE,0.5,0.2,4,5,0.6425679556493401
257,random walks,DeepWalk,GCN,0.1,0.01,3,5,0.6747957318502086
258,random walks,DeepWalk,SAGE,0.1,0.5,3,20,0.6891846235242022
259,random walks,DeepWalk,SAGE,0.9,0.2,3,5,0.6471927206256651
260,random walks,DeepWalk,SAGE,0.5,0.2,3,2,0.6301903321551074
261,random walks,DeepWalk,SAGE,0.1,0.2,4,2,0.7129705837524767
262,random walks,DeepWalk,GCN,0.1,0.01,3,20,0.6271622543245087
263,random walks,DeepWalk,SAGE,0.9,0.5,3,20,0.6750481065208913
264,random walks,DeepWalk,SAGE,0.1,0.2,2,40,0.4888989830508474
265,random walks,DeepWalk,SAGE,0.5,0.5,4,5,0.6301712495447206
266,random walks,DeepWalk,GCN,0.1,0.2,4,2,0.5282274043590917
267,random walks,DeepWalk,SAGE,0.9,0.2,4,5,0.6429969842418207
268,random walks,DeepWalk,GCN,0.1,0.2,2,5,0.6167033973321938
269,random walks,DeepWalk,GCN,0.1,0.01,4,2,0.6861919052016006
270,random walks,DeepWalk,SAGE,0.1,0.5,4,5,0.6249843091489158
271,random walks,DeepWalk,SAGE,0.9,0.01,2,5,0.7623603675061141
272,random walks,DeepWalk,GCN,0.1,0.01,4,5,0.694701624442387
273,random walks,DeepWalk,SAGE,0.9,0.01,2,20,0.769351881377551
274,random walks,DeepWalk,SAGE,0.5,0.5,2,5,0.6885985128074545
275,random walks,DeepWalk,SAGE,0.1,0.2,4,5,0.5614095315024232
276,random walks,DeepWalk,GCN,0.1,0.01,7,2,0.6996952531809026
277,random walks,DeepWalk,SAGE,0.5,0.01,2,5,0.7199999999999999
278,random walks,DeepWalk,GCN,0.5,0.01,3,5,0.6597509725194894
279,random walks,DeepWalk,SAGE,0.9,0.5,4,5,0.6763373935129526
280,random walks,DeepWalk,GCN,0.1,0.5,3,20,0.6985260712293475
281,random walks,DeepWalk,SAGE,0.9,0.5,2,5,0.6644501674461482
282,random walks,DeepWalk,SAGE,0.5,0.5,2,20,0.69650184206879
283,random walks,DeepWalk,GCN,0.1,0.2,2,20,0.5815930953398889
284,random walks,DeepWalk,GCN,0.1,0.01,2,5,0.6294315188320698
285,random walks,DeepWalk,GCN,0.1,0.2,4,5,0.6037079967689822
286,random walks,DeepWalk,SAGE,0.1,0.5,2,5,0.6639156300858593
287,random walks,DeepWalk,GCN,0.5,0.2,4,5,0.6152452271847568
288,random walks,DeepWalk,GCN,0.1,0.01,2,20,0.7062381852551984
289,random walks,DeepWalk,GCN,0.5,0.01,3,20,0.7135664387633769
290,random walks,DeepWalk,GCN,0.9,0.01,3,20,0.7486075801975587
291,random walks,DeepWalk,GCN,0.1,0.01,2,40,0.6461530957336107
292,random walks,DeepWalk,GCN,0.5,0.01,4,2,0.6822431389977935
293,random walks,DeepWalk,GCN,0.5,0.5,4,5,0.6646564533648779
294,random walks,DeepWalk,GCN,0.9,0.01,4,2,0.7333728395061729
295,random walks,DeepWalk,SAGE,0.9,0.5,2,20,0.5689204477693723
296,random walks,DeepWalk,GCN,0.5,0.2,2,20,0.5638013376717281
297,random walks,DeepWalk,GCN,0.1,0.2,2,40,0.6335786440677966
298,random walks,DeepWalk,GCN,0.5,0.01,4,5,0.6996632469261492
299,random walks,DeepWalk,GCN,0.1,0.5,4,5,0.6842397984611159
300,random walks,DeepWalk,GCN,0.9,0.01,4,5,0.7260243941326532
301,random walks,DeepWalk,GCN,0.5,0.5,2,5,0.6471463244039465
302,random walks,DeepWalk,GCN,0.9,0.2,2,40,0.511592018469657
303,random walks,DeepWalk,GCN,0.5,0.01,7,2,0.7086708352889521
304,random walks,DeepWalk,GCN,0.1,0.2,3,2,0.5840920776166051
305,random walks,DeepWalk,SAGE,0.9,0.5,2,40,0.5637375140612862
306,random walks,DeepWalk,GCN,0.1,0.5,2,5,0.7062587340199782
307,random walks,DeepWalk,GCN,0.9,0.01,2,5,0.6010641813735211
308,random walks,DeepWalk,GCN,0.5,0.2,2,40,0.6098539493293592
309,random walks,DeepWalk,GCN,0.9,0.2,3,2,0.575628
310,random walks,DeepWalk,GCN,0.9,0.01,7,2,0.612740123555698
311,random walks,DeepWalk,GCN,0.9,0.01,2,20,0.7716438137755102
